Ground Camera to Satellite Center Distance Analysis
============================================================

Total samples: 33569
Valid projections: 30100
Success rate: 89.67%

Distance Statistics (pixels):
  Mean: 18.19 ± 19.23
  Median: 9.84
  Min: 0.00
  Max: 98.01

Individual Results:
  Sample 192: 21.14 pixels
  Sample 193: 2.78 pixels
  Sample 194: 5.50 pixels
  Sample 195: 1.39 pixels
  Sample 196: 3.93 pixels
  Sample 197: 0.79 pixels
  Sample 198: 10.02 pixels
  Sample 199: 11.79 pixels
  Sample 200: 26.21 pixels
  Sample 201: 15.68 pixels
  Sample 202: 8.68 pixels
  Sample 203: 12.67 pixels
  Sample 204: 35.78 pixels
  Sample 205: 13.41 pixels
  Sample 206: 25.85 pixels
  Sample 207: 0.56 pixels
  Sample 208: 25.97 pixels
  Sample 209: 19.63 pixels
  Sample 210: 19.12 pixels
  Sample 211: 11.89 pixels
  Sample 212: 18.68 pixels
  Sample 213: 63.06 pixels
  Sample 214: 41.11 pixels
  Sample 215: 39.91 pixels
  Sample 216: 42.49 pixels
  Sample 217: 34.56 pixels
  Sample 218: 9.00 pixels
  Sample 219: 36.80 pixels
  Sample 220: 7.35 pixels
  Sample 221: 17.81 pixels
  Sample 222: 7.86 pixels
  Sample 223: 3.90 pixels
  Sample 224: 3.24 pixels
  Sample 225: 10.69 pixels
  Sample 226: 2.83 pixels
  Sample 227: 25.77 pixels
  Sample 228: 0.56 pixels
  Sample 229: 4.48 pixels
  Sample 230: 1.39 pixels
  Sample 231: 2.29 pixels
  Sample 232: 7.74 pixels
  Sample 233: 26.60 pixels
  Sample 234: 13.02 pixels
  Sample 235: 12.20 pixels
  Sample 236: 26.15 pixels
  Sample 237: 3.00 pixels
  Sample 238: 4.49 pixels
  Sample 239: 8.47 pixels
  Sample 240: 18.50 pixels
  Sample 241: 4.86 pixels
  Sample 242: 43.70 pixels
  Sample 243: 42.82 pixels
  Sample 244: 44.83 pixels
  Sample 245: 39.73 pixels
  Sample 246: 65.82 pixels
  Sample 247: 1.69 pixels
  Sample 248: 8.46 pixels
  Sample 249: 1.76 pixels
  Sample 250: 3.51 pixels
  Sample 251: 5.10 pixels
  Sample 252: 9.49 pixels
  Sample 253: 16.57 pixels
  Sample 254: 14.46 pixels
  Sample 255: 14.91 pixels
  Sample 256: 25.84 pixels
  Sample 257: 2.24 pixels
  Sample 258: 1.11 pixels
  Sample 259: 1.67 pixels
  Sample 260: 0.79 pixels
  Sample 261: 0.79 pixels
  Sample 262: 3.89 pixels
  Sample 263: 5.56 pixels
  Sample 264: 5.12 pixels
  Sample 265: 5.86 pixels
  Sample 266: 3.00 pixels
  Sample 267: 4.71 pixels
  Sample 268: 3.65 pixels
  Sample 269: 5.22 pixels
  Sample 270: 3.73 pixels
  Sample 271: 3.65 pixels
  Sample 272: 5.80 pixels
  Sample 273: 18.87 pixels
  Sample 274: 12.48 pixels
  Sample 275: 6.12 pixels
  Sample 276: 3.61 pixels
  Sample 277: 11.79 pixels
  Sample 278: 9.49 pixels
  Sample 279: 1.76 pixels
  Sample 280: 4.75 pixels
  Sample 281: 4.66 pixels
  Sample 282: 20.49 pixels
  Sample 283: 25.94 pixels
  Sample 284: 14.76 pixels
  Sample 285: 8.98 pixels
  Sample 286: 11.99 pixels
  Sample 287: 26.72 pixels
  Sample 288: 27.13 pixels
  Sample 289: 23.62 pixels
  Sample 290: 15.71 pixels
  Sample 291: 29.49 pixels
